
question,answer
"My wheat leaves are turning yellow, what should I do?","This usually means nitrogen deficiency. Apply urea fertilizer in split doses and avoid overwatering."
"Best time to sow cotton in Gujarat?","Cotton sowing is best done between April and June, after pre-monsoon showers."
"How to control aphids on chili plants?","Spray neem oil solution (5ml per liter water) every 7 days. In severe cases use imidacloprid."
"When should I apply DAP fertilizer?","Apply DAP at the time of sowing, mixed into the soil near the root zone."
"My plant leaves have white powder on them, what is it?","This is likely powdery mildew, a fungal disease. Spray sulfur-based fungicide."
"How often should I water groundnut crop?","Water every 10-12 days, avoid waterlogging as it can cause root rot."
"What causes root rot in plants?","Overwatering and poor soil drainage. Improve drainage and reduce watering frequency."
"Best season to sow wheat?","Wheat is best sown between October and December in most parts of India."
"How to control whitefly in cotton?","Use yellow sticky traps and spray neem oil or imidacloprid-based pesticide."
"My tomato plants have spots on leaves, what should I do?","This could be early blight. Remove affected leaves and spray copper-based fungicide."
"When to use urea fertilizer?","Apply urea 20-25 days after sowing, and again during flowering stage, in split doses."
"How to improve poor soil quality?","Add organic compost or farmyard manure, and consider crop rotation to restore nutrients."
"What is the right time for soil testing?","Test soil before every sowing season, ideally once a year, to check nutrient levels."
"How to control caterpillar attack on crops?","Spray Bacillus thuringiensis (Bt) based bio-pesticide or use recommended chemical insecticide."
"Best time to sow groundnut?","Groundnut sowing is ideal between June and July, at the start of monsoon."
"My plant growth is very slow, what to do?","Could be nutrient deficiency. Apply balanced NPK fertilizer and ensure proper watering."
"How to control termites in field?","Apply chlorpyrifos near root zones or use neem cake as an organic alternative."
"What is the right irrigation method to save water?","Drip irrigation saves up to 40-50% water compared to flood irrigation."
"When should I apply pesticide after sowing?","Apply preventive pesticide spray 15-20 days after sowing, then as needed based on pest activity."
"My crop has too much salt in soil, what to do?","Add gypsum to reduce soil salinity and improve drainage. Flush field with fresh water if possible."
